http://www.nist.gov/pml/data/comp.cfm

Isotope: Atomic number, Symbol, and Mass number

NB: I had to add a '0.0()' in the third column of the first line for elements
beyond He, as well as a () after the fractions that were 1.0000, in order
to conform to my reading statement. BPz 12/06-2012 

Isotope      Atomic Mass        Composition   Atomic Weight    Notes     
_________________________________________________________________________
        42   41.96551643(29)                
        43   42.9611507(20)                 
        44   43.9594028(19)                 
        45   44.9559119(9)      1.0000()    
        46   45.9551719(9)                  
        47   46.9524075(22)                 
        48   47.952231(6)                   
        49   48.950024(4)                   
        50   49.952188(17)                  
        51   50.953603(22)                  
        52   51.95668(21)                   
        53   52.95961(32)#                  
        54   53.96326(40)                   
        55   54.96824(79)                   
        56   55.97287(75)#                  
        57   56.97779(75)#                  
        58   57.98371(86)#                  
        59   58.98922(97)#                  
        60   59.99571(97)#                  
_________________________________________________________________________
22  Ti  38   38.00977(27)#      0.0()         47.867(1)         
        39   39.00161(22)#                  
        40   39.99050(17)                   
        41   40.98315(11)#                  
        42   41.973031(6)                   
        43   42.968522(7)                   
        44   43.9596901(8)                  
        45   44.9581256(11)                 
        46   45.9526316(9)      0.0825(3)   
        47   46.9517631(9)      0.0744(2)   
        48   47.9479463(9)      0.7372(3)   
        49   48.9478700(9)      0.0541(2)   
        50   49.9447912(9)      0.0518(2)   
        51   50.9466150(10)                 
        52   51.946897(8)                   
        53   52.94973(11)                   
        54   53.95105(13)                   
        55   54.95527(16)                   
        56   55.95820(21)                   
        57   56.96399(49)                   
        58   57.96697(75)#                  
        59   58.97293(75)#                  
        60   59.97676(86)#                  
        61   60.98320(97)#                  
        62   61.98749(97)#                  
        63   62.99442(107)#                 
_________________________________________________________________________
23  V   40   40.01109(54)#      0.0()         50.9415(1)        
        41   40.99978(22)#                  
        42   41.99123(21)#                  
        43   42.98065(25)#                  
        44   43.97411(13)                   
        45   44.965776(18)                  
        46   45.9602005(11)                 
        47   46.9549089(9)                  
        48   47.9522537(27)                 
        49   48.9485161(12)                 
        50   49.9471585(11)     0.00250(4)  
        51   50.9439595(11)     0.99750(4)  
        52   51.9447755(11)                 
        53   52.944338(3)                   
        54   53.946440(16)                  
        55   54.94723(11)                   
        56   55.95053(22)                   
        57   56.95256(25)                   
        58   57.95683(27)                   
        59   58.96021(33)                   
        60   59.96503(51)                   
        61   60.96848(43)#                  
