'H2H2      ' Data fetched at http://www.astro.ku.dk/~aborysow/programs/
1000         Ref: Borysow A., Jorgensen U.G., Fu Y. 2001, JQSRT 68, 235
7            Opacity units: cm-1/amagat**2. Mult by 1.38529e-39*n(H2)**2/rho to get cm2/g * matter
                1000.	     2000.      3000.       4000.        5000.       6000.       7000.
   freq(cm-1)   1000K	     2000K      3000K       4000K        5000K       6000K       7000K
   ==============================================================================================
    1420.00    0.4457E-05  0.7552E-05  0.8327E-05  0.9375E-05  0.1075E-04  0.1216E-04  0.1344E-04
    1440.00    0.4389E-05  0.7638E-05  0.8498E-05  0.9605E-05  0.1104E-04  0.1249E-04  0.1381E-04
    1460.00    0.4317E-05  0.7711E-05  0.8671E-05  0.9838E-05  0.1132E-04  0.1282E-04  0.1418E-04
    1480.00    0.4233E-05  0.7777E-05  0.8839E-05  0.1007E-04  0.1160E-04  0.1316E-04  0.1455E-04
    1500.00    0.4130E-05  0.7829E-05  0.9002E-05  0.1030E-04  0.1189E-04  0.1350E-04  0.1493E-04
    1520.00    0.4014E-05  0.7880E-05  0.9156E-05  0.1053E-04  0.1219E-04  0.1384E-04  0.1532E-04
    1540.00    0.3889E-05  0.7910E-05  0.9311E-05  0.1076E-04  0.1248E-04  0.1419E-04  0.1571E-04
    1560.00    0.3758E-05  0.7938E-05  0.9461E-05  0.1100E-04  0.1278E-04  0.1454E-04  0.1611E-04
    1580.00    0.3625E-05  0.7952E-05  0.9606E-05  0.1123E-04  0.1308E-04  0.1490E-04  0.1652E-04
    1600.00    0.3490E-05  0.7972E-05  0.9751E-05  0.1146E-04  0.1338E-04  0.1526E-04  0.1693E-04
    1620.00    0.3357E-05  0.7976E-05  0.9885E-05  0.1169E-04  0.1368E-04  0.1563E-04  0.1735E-04
    1640.00    0.3226E-05  0.7979E-05  0.1002E-04  0.1192E-04  0.1398E-04  0.1600E-04  0.1777E-04
    1660.00    0.3102E-05  0.7974E-05  0.1015E-04  0.1214E-04  0.1428E-04  0.1637E-04  0.1820E-04
    1680.00    0.2980E-05  0.7975E-05  0.1028E-04  0.1237E-04  0.1459E-04  0.1675E-04  0.1864E-04
    1700.00    0.2862E-05  0.7960E-05  0.1040E-04  0.1259E-04  0.1489E-04  0.1712E-04  0.1908E-04
    1720.00    0.2748E-05  0.7950E-05  0.1053E-04  0.1281E-04  0.1520E-04  0.1751E-04  0.1953E-04
    1740.00    0.2638E-05  0.7925E-05  0.1064E-04  0.1303E-04  0.1551E-04  0.1789E-04  0.1999E-04
    1760.00    0.2532E-05  0.7899E-05  0.1075E-04  0.1324E-04  0.1582E-04  0.1828E-04  0.2044E-04
    1780.00    0.2431E-05  0.7864E-05  0.1085E-04  0.1346E-04  0.1613E-04  0.1868E-04  0.2091E-04
    1800.00    0.2330E-05  0.7827E-05  0.1093E-04  0.1366E-04  0.1643E-04  0.1907E-04  0.2138E-04
    1820.00    0.2232E-05  0.7774E-05  0.1103E-04  0.1387E-04  0.1674E-04  0.1947E-04  0.2186E-04
    1840.00    0.2138E-05  0.7727E-05  0.1111E-04  0.1407E-04  0.1704E-04  0.1987E-04  0.2234E-04
    1860.00    0.2044E-05  0.7672E-05  0.1119E-04  0.1427E-04  0.1735E-04  0.2028E-04  0.2282E-04
    1880.00    0.1950E-05  0.7599E-05  0.1125E-04  0.1446E-04  0.1766E-04  0.2068E-04  0.2332E-04
    1900.00    0.1858E-05  0.7525E-05  0.1131E-04  0.1466E-04  0.1796E-04  0.2109E-04  0.2381E-04
    1920.00    0.1768E-05  0.7445E-05  0.1137E-04  0.1484E-04  0.1827E-04  0.2150E-04  0.2432E-04
    1940.00    0.1680E-05  0.7361E-05  0.1141E-04  0.1502E-04  0.1857E-04  0.2191E-04  0.2482E-04
    1960.00    0.1596E-05  0.7272E-05  0.1145E-04  0.1520E-04  0.1887E-04  0.2233E-04  0.2534E-04
    1980.00    0.1514E-05  0.7181E-05  0.1148E-04  0.1536E-04  0.1916E-04  0.2274E-04  0.2585E-04
    2000.00    0.1444E-05  0.7086E-05  0.1152E-04  0.1553E-04  0.1946E-04  0.2315E-04  0.2637E-04
    2020.00    0.1371E-05  0.6991E-05  0.1154E-04  0.1569E-04  0.1975E-04  0.2357E-04  0.2689E-04
    2040.00    0.1301E-05  0.6891E-05  0.1156E-04  0.1585E-04  0.2004E-04  0.2399E-04  0.2742E-04
    2060.00    0.1234E-05  0.6791E-05  0.1157E-04  0.1600E-04  0.2033E-04  0.2440E-04  0.2795E-04
    2080.00    0.1170E-05  0.6687E-05  0.1158E-04  0.1615E-04  0.2061E-04  0.2482E-04  0.2848E-04
    2100.00    0.1111E-05  0.6583E-05  0.1157E-04  0.1629E-04  0.2089E-04  0.2524E-04  0.2902E-04
    2120.00    0.1053E-05  0.6475E-05  0.1156E-04  0.1642E-04  0.2117E-04  0.2565E-04  0.2956E-04
    2140.00    0.9979E-06  0.6367E-05  0.1156E-04  0.1654E-04  0.2144E-04  0.2607E-04  0.3010E-04
    2160.00    0.9472E-06  0.6257E-05  0.1153E-04  0.1666E-04  0.2171E-04  0.2649E-04  0.3064E-04
    2180.00    0.8984E-06  0.6146E-05  0.1151E-04  0.1678E-04  0.2198E-04  0.2690E-04  0.3118E-04
    2200.00    0.8522E-06  0.6032E-05  0.1147E-04  0.1689E-04  0.2225E-04  0.2732E-04  0.3173E-04
    2220.00    0.8085E-06  0.5918E-05  0.1144E-04  0.1700E-04  0.2251E-04  0.2773E-04  0.3228E-04
    2240.00    0.7673E-06  0.5803E-05  0.1140E-04  0.1709E-04  0.2276E-04  0.2814E-04  0.3282E-04
    2260.00    0.7284E-06  0.5688E-05  0.1135E-04  0.1719E-04  0.2301E-04  0.2854E-04  0.3337E-04
    2280.00    0.6919E-06  0.5574E-05  0.1130E-04  0.1727E-04  0.2326E-04  0.2895E-04  0.3392E-04
    2300.00    0.6576E-06  0.5462E-05  0.1124E-04  0.1736E-04  0.2350E-04  0.2935E-04  0.3446E-04
    2320.00    0.6256E-06  0.5350E-05  0.1118E-04  0.1743E-04  0.2373E-04  0.2976E-04  0.3501E-04
    2340.00    0.5957E-06  0.5240E-05  0.1112E-04  0.1750E-04  0.2397E-04  0.3015E-04  0.3555E-04
    2360.00    0.5681E-06  0.5131E-05  0.1106E-04  0.1757E-04  0.2420E-04  0.3055E-04  0.3609E-04
    2380.00    0.5424E-06  0.5024E-05  0.1098E-04  0.1762E-04  0.2443E-04  0.3094E-04  0.3663E-04
    2400.00    0.5187E-06  0.4919E-05  0.1090E-04  0.1768E-04  0.2464E-04  0.3133E-04  0.3717E-04
    2420.00    0.4970E-06  0.4817E-05  0.1084E-04  0.1773E-04  0.2486E-04  0.3171E-04  0.3770E-04
    2440.00    0.4772E-06  0.4717E-05  0.1076E-04  0.1778E-04  0.2507E-04  0.3210E-04  0.3824E-04
    2460.00    0.4591E-06  0.4620E-05  0.1068E-04  0.1782E-04  0.2527E-04  0.3248E-04  0.3877E-04
    2480.00    0.4428E-06  0.4526E-05  0.1060E-04  0.1786E-04  0.2548E-04  0.3285E-04  0.3929E-04
    2500.00    0.4283E-06  0.4433E-05  0.1051E-04  0.1789E-04  0.2567E-04  0.3322E-04  0.3981E-04
    2520.00    0.4154E-06  0.4346E-05  0.1043E-04  0.1792E-04  0.2587E-04  0.3358E-04  0.4033E-04
    2540.00    0.4040E-06  0.4260E-05  0.1035E-04  0.1796E-04  0.2606E-04  0.3394E-04  0.4083E-04
    2560.00    0.3938E-06  0.4178E-05  0.1027E-04  0.1798E-04  0.2625E-04  0.3430E-04  0.4132E-04
    2580.00    0.3851E-06  0.4099E-05  0.1018E-04  0.1800E-04  0.2643E-04  0.3466E-04  0.4186E-04
    2600.00    0.3775E-06  0.4024E-05  0.1010E-04  0.1802E-04  0.2661E-04  0.3500E-04  0.4235E-04
    2620.00    0.3709E-06  0.3952E-05  0.1002E-04  0.1805E-04  0.2679E-04  0.3535E-04  0.4285E-04
    2640.00    0.3655E-06  0.3884E-05  0.9945E-05  0.1806E-04  0.2697E-04  0.3569E-04  0.4330E-04
    2660.00    0.3611E-06  0.3821E-05  0.9867E-05  0.1809E-04  0.2713E-04  0.3602E-04  0.4380E-04
    2680.00    0.3575E-06  0.3761E-05  0.9795E-05  0.1811E-04  0.2730E-04  0.3635E-04  0.4426E-04
    2700.00    0.3550E-06  0.3704E-05  0.9722E-05  0.1813E-04  0.2747E-04  0.3668E-04  0.4472E-04
    2720.00    0.3539E-06  0.3653E-05  0.9655E-05  0.1815E-04  0.2764E-04  0.3701E-04  0.4518E-04
    2740.00    0.3540E-06  0.3605E-05  0.9587E-05  0.1816E-04  0.2781E-04  0.3733E-04  0.4564E-04
    2760.00    0.3555E-06  0.3564E-05  0.9533E-05  0.1819E-04  0.2797E-04  0.3764E-04  0.4606E-04
    2780.00    0.3585E-06  0.3527E-05  0.9477E-05  0.1822E-04  0.2814E-04  0.3796E-04  0.4653E-04
    2800.00    0.3630E-06  0.3495E-05  0.9428E-05  0.1825E-04  0.2830E-04  0.3827E-04  0.4695E-04
    2820.00    0.3691E-06  0.3469E-05  0.9386E-05  0.1829E-04  0.2847E-04  0.3858E-04  0.4738E-04
    2840.00    0.3769E-06  0.3447E-05  0.9350E-05  0.1833E-04  0.2864E-04  0.3888E-04  0.4780E-04
    2860.00    0.3860E-06  0.3430E-05  0.9329E-05  0.1837E-04  0.2881E-04  0.3918E-04  0.4818E-04
    2880.00    0.3971E-06  0.3421E-05  0.9307E-05  0.1842E-04  0.2899E-04  0.3948E-04  0.4861E-04
    2900.00    0.4097E-06  0.3416E-05  0.9291E-05  0.1848E-04  0.2916E-04  0.3977E-04  0.4899E-04
    2920.00    0.4242E-06  0.3417E-05  0.9291E-05  0.1855E-04  0.2934E-04  0.4007E-04  0.4937E-04
    2940.00    0.4405E-06  0.3425E-05  0.9297E-05  0.1862E-04  0.2952E-04  0.4037E-04  0.4975E-04
    2960.00    0.4587E-06  0.3438E-05  0.9311E-05  0.1871E-04  0.2970E-04  0.4066E-04  0.5014E-04
    2980.00    0.4787E-06  0.3457E-05  0.9339E-05  0.1880E-04  0.2990E-04  0.4095E-04  0.5052E-04
    3000.00    0.5002E-06  0.3482E-05  0.9367E-05  0.1889E-04  0.3009E-04  0.4124E-04  0.5090E-04
    3020.00    0.5229E-06  0.3513E-05  0.9418E-05  0.1900E-04  0.3029E-04  0.4153E-04  0.5124E-04
    3040.00    0.5466E-06  0.3550E-05  0.9476E-05  0.1912E-04  0.3049E-04  0.4182E-04  0.5158E-04
    3060.00    0.5706E-06  0.3592E-05  0.9542E-05  0.1925E-04  0.3071E-04  0.4211E-04  0.5191E-04
    3080.00    0.5941E-06  0.3640E-05  0.9623E-05  0.1939E-04  0.3093E-04  0.4240E-04  0.5230E-04
    3100.00    0.6173E-06  0.3694E-05  0.9712E-05  0.1954E-04  0.3115E-04  0.4269E-04  0.5259E-04
    3120.00    0.6407E-06  0.3756E-05  0.9817E-05  0.1971E-04  0.3139E-04  0.4298E-04  0.5292E-04
