# dumb      molec. code     name             IP   npart  coeff(1:npart) 
# produced from polyatomic_merge.srt of Irwin, after removal of all Sauval and
# Tatum species. BPz 21/08-1996
# log(Q) = sum_0^npart-1 ai log(T)^i
#
###################################################
# Partition fct for Rb Mo+ Pr Pr+ Nd Nd+ Gd Tb Tb+ Dy Dy+ Ho+ Er Er+ Yb Lu+ 
# changed to those by Sneden/Lawler (according to MOOG) by VHI 03/07-2007
###################################################
# Ionisation potential updated from NIST for Y, Nb, Ho, Hf, Ir, Th (largest changes Th: 6.08->6.307; Hf:7.018->6.825) by VHI 03/07-2007
###################################################
# Ionisation pot Os changed following Colarusso 1997 (old=8.74eV) by VHi 18/01-2002
###################################################
# ThII and ThIII partition functions changed by BPz 15/09-2000.
# Irwin had: 
#    277             90.01 '              th+'  6.08    6   -5.54692278D+02  2.40410297D+02 -3.64787941D+01  1.98655925D+00  1.30338683D-02 -3.13351582D-03
#    278             90.02 '             th++' 11.531   6    7.10076650D+03 -4.15762991D+03  9.69365844D+02 -1.12510812D+02  6.50161887D+00 -1.49626283D-01
# I fit a polynomial through Morell et al. 3 values:
#   277             90.01 '              th+'  6.08    6   -12.32966d0      1.869584d0  0.0 0.0 0.0 0.0
#   278             90.02 '             th++' 11.531   6    -7.775563d0     1.739154d0     -4.3311156D-02 0.0 0.0 0.0
# changed to a fit of Holweger partition function between 1000 and 16000K. BPz 20/09-2000
# Holweger's partition function is now hardcoded in partf.f 
#
###################################################
# Note that partf.f replaces UII and UIII partition functions by direct summation of the energy 
# levels (hardcoded in partf.f BPz 20/09-2000
###################################################
    47             13.02 '             al++' 18.829   6   -1.24175698D+02  7.83456457D+01 -1.96158655D+01  2.44987569D+00 -1.52626168D-01  3.79453900D-03
    48             14.00 '               si'  0.000   6   -7.23428869D+02  4.52601901D+02 -1.12918109D+02  1.40785236D+01 -8.77132603D-01  2.18523847D-02
    49             14.01 '              si+'  8.152   6   -3.67925366D+02  2.27801749D+02 -5.63139256D+01  6.96970720D+00 -4.31392293D-01  1.06749184D-02
    50             14.02 '             si++' 16.346   6   -3.91665625D+02  2.45914248D+02 -6.16164424D+01  7.70134645D+00 -4.80173854D-01  1.19478316D-02
    51             15.00 '               p '  0.000   6    9.74630906D+02 -6.18827850D+02  1.56647965D+02 -1.97214442D+01  1.23393462D+00 -3.06671090D-02
    52             15.01 '              p +' 10.487   6   -3.07658779D+01  7.20111961D+00  9.78932189D-01 -4.14188534D-01  4.11179949D-02 -1.33638301D-03
    53             15.02 '             p ++' 19.769   6   -6.99984767D+01  4.00709052D+01 -9.31663009D+00  1.11525128D+00 -6.80782270D-02  1.68288627D-03
    54             16.00 '               s '  0.000   6   -6.30703449D+01  3.53098667D+01 -7.71409969D+00  8.50300702D-01 -4.74936003D-02  1.08607937D-03
    55             16.01 '              s +' 10.360   6    9.77516783D+02 -6.06713375D+02  1.50090513D+02 -1.84627161D+01  1.12856222D+00 -2.74016045D-02
    56             16.02 '             s ++' 23.334   6    2.23914684D+02 -1.47570136D+02  3.81918598D+01 -4.84977487D+00  3.03609041D-01 -7.51308575D-03
    57             17.00 '               cl'  0.000   6   -1.41743041D+02  9.11490579D+01 -2.32901725D+01  2.97839070D+00 -1.90121006D-01  4.83977315D-03
    58             17.01 '              cl+' 12.968   6    2.37940076D+02 -1.49281053D+02  3.73551058D+01 -4.63170211D+00  2.84929200D-01 -6.95817201D-03
    59             17.02 '             cl++' 23.814   6    7.05206738D+02 -4.30210322D+02  1.04538026D+02 -1.26136527D+01  7.55075317D-01 -1.79189988D-02
    60             18.00 '               ar'  0.000   6   -1.50860761D+02  9.44834641D+01 -2.36105115D+01  2.94261084D+00 -1.82910244D-01  4.53641770D-03
    61             18.01 '              ar+' 15.760   6    8.00614439D+01 -4.51603962D+01  1.02073231D+01 -1.13868546D+00  6.29814970D-02 -1.38557483D-03
    62             18.02 '             ar++' 27.630   6    3.08147365D+02 -1.87717510D+02  4.56112646D+01 -5.50134735D+00  3.29750197D-01 -7.85881328D-03
    63             19.00 '               k '  0.000   6   -1.05889824D+03  7.37734975D+02 -2.05032627D+02  2.84353380D+01 -1.96809457D+00  5.43892001D-02
    64             19.01 '              k +'  4.341   6   -1.67241589D-01  1.03911655D-01 -2.57531592D-02  3.18236700D-03 -1.96075509D-04  4.81883692D-06
    65             19.02 '             k ++' 31.628   6    2.47411101D+01 -9.05832666D+00  9.61945436D-01  2.49306802D-02 -9.17510208D-03  3.82217668D-04
    66             20.00 '               ca'  0.000   6   -5.21521085D+02  4.10712446D+02 -1.26375869D+02  1.90976557D+01 -1.42269952D+00  4.19085267D-02
    67             20.01 '              ca+'  6.113   6    1.65874025D+03 -1.04392185D+03  2.61702809D+02 -3.26369424D+01  2.02350114D+00 -4.98594460D-02
    68             20.02 '             ca++' 11.872   6   -1.24819814D-03  7.75158073D-04 -1.92014703D-04  2.37150053D-05 -1.46034751D-06  3.58695382D-08
    69             21.00 '               sc'  0.000   6    1.81644604D+02 -7.20731826D+01  5.86975892D+00  1.07520225D+00 -2.00124526D-01  8.87302770D-03
    70             21.01 '              sc+'  6.561   6   -6.25304979D+02  3.90511641D+02 -9.66522233D+01  1.18955806D+01 -7.28148753D-01  1.77552524D-02
    71             21.02 '             sc++' 12.800   6   -4.01041660D+01  2.44262397D+01 -5.78612200D+00  7.00052494D-01 -4.30315116D-02  1.07061834D-03
    72             22.00 '               ti'  0.000   6   -5.42849573D+02  3.46635141D+02 -8.90099156D+01  1.15603978D+01 -7.60309452D-01  2.02863075D-02
    73             22.01 '              ti+'  6.828   6    7.41156498D+00 -1.62989642D+01  6.88299761D+00 -1.14483565D+00  8.56663842D-02 -2.39509300D-03
    74             22.02 '             ti++' 13.576   6    1.90433458D+02 -1.27981973D+02  3.41092889D+01 -4.46260237D+00  2.87468135D-01 -7.30136017D-03
    75             23.00 '               v '  0.000   6   -1.24333362D+03  8.15378796D+02 -2.13919280D+02  2.81081913D+01 -1.84869324D+00  4.86918802D-02
    76             23.01 '              v +'  6.746   6    7.69236318D+02 -4.73580087D+02  1.16641639D+02 -1.43096844D+01  8.74037953D-01 -2.12299589D-02
    77             23.02 '             v ++' 14.655   6    7.28260908D+02 -4.65567785D+02  1.18419589D+02 -1.49305828D+01  9.33532870D-01 -2.31532069D-02
    78             24.00 '               cr'  0.000   6   -8.80838409D+02  5.72933536D+02 -1.49289839D+02  1.95455757D+01 -1.28737652D+00  3.41709398D-02
    79             24.01 '              cr+'  6.766   6    3.32026608D+03 -2.07680692D+03  5.17436644D+02 -6.41213593D+01  3.94957079D+00 -9.66571288D-02
    80             24.02 '             cr++' 16.497   6    8.99434106D+02 -5.56554851D+02  1.36799645D+02 -1.66493892D+01  1.00343273D+00 -2.39467456D-02
    81             25.00 '               mn'  0.000   6   -1.54913173D+03  1.04762114D+03 -2.82777415D+02  3.81262914D+01 -2.56771825D+00  6.91046934D-02
    82             25.01 '              mn+'  7.437   6    1.36807626D+03 -8.39953845D+02  2.05165234D+02 -2.48590226D+01  1.49207266D+00 -3.54240524D-02
    83             25.02 '             mn++' 15.640   6    1.64215547D+02 -7.60372859D+01  1.21385978D+01 -5.98003176D-01 -2.36904392D-02  2.20397061D-03
    84             26.00 '               fe'  0.000   6   -1.15609527D+03  7.46597652D+02 -1.92865672D+02  2.49658410D+01 -1.61934455D+00  4.21182087D-02
    85             26.01 '              fe+'  7.902   6    2.71692895D+02 -1.52697440D+02  3.36119665D+01 -3.56415427D+00  1.80193259D-01 -3.38654879D-03
    86             26.02 '             fe++' 16.188   6    5.42788652D+02 -3.26170152D+02  7.77054463D+01 -9.12244699D+00  5.27184053D-01 -1.19689432D-02
    87             27.00 '               co'  0.000   6   -1.27572458D+03  8.34945002D+02 -2.17863543D+02  2.83665679D+01 -1.84229266D+00  4.77591938D-02
    88             27.01 '              co+'  7.881   6   -4.17417685D+02  2.76839269D+02 -7.24430563D+01  9.38616516D+00 -6.01647637D-01  1.52809452D-02
    89             27.02 '             co++' 17.084   6    1.94602744D+02 -1.15107876D+02  2.69761183D+01 -3.09225061D+00  1.73365887D-01 -3.78711620D-03
    90             28.00 '               ni'  0.000   6   -1.02017263D+03  6.68758438D+02 -1.74841425D+02  2.28263930D+01 -1.48693754D+00  3.86538338D-02
    91             28.01 '              ni+'  7.640   6   -2.01279351D+02  1.01910058D+02 -1.92092108D+01  1.62959379D+00 -5.55991468D-02  3.32146945D-04
    92             28.02 '             ni++' 18.169   6    1.13021988D+02 -6.17971942D+01  1.33706056D+01 -1.40047265D+00  7.08696964D-02 -1.37157842D-03
    93             29.00 '               cu'  0.000   6    8.31841948D+02 -5.28713346D+02  1.33638828D+02 -1.67595185D+01  1.04137409D+00 -2.56014002D-02
    94             29.01 '              cu+'  7.726   6    2.74142626D+03 -1.68010377D+03  4.09637716D+02 -4.96430478D+01  2.98843963D+00 -7.14361200D-02
    95             29.02 '             cu++' 20.292   6   -1.51329149D+02  1.01980858D+02 -2.68100884D+01  3.47623044D+00 -2.22333466D-01  5.61929630D-03
    96             30.00 '               zn'  0.000   6   -1.20140529D+03  7.70434011D+02 -1.97293540D+02  2.52193702D+01 -1.60917496D+00  4.10029313D-02
    97             30.01 '              zn+'  9.394   6   -3.81015122D+02  2.38979357D+02 -5.97019783D+01  7.43924261D+00 -4.62365038D-01  1.14671249D-02
    98             30.02 '             zn++' 18.461   6   -1.02446416D+02  6.39284708D+01 -1.59154243D+01  1.97595716D+00 -1.22341471D-01  3.02204306D-03
    99             31.00 '               ga'  0.000   6   -1.25561639D+03  8.10115185D+02 -2.09131868D+02  2.70017483D+01 -1.74224040D+00  4.49219688D-02
   100             31.01 '              ga+'  5.999   6   -5.89962696D+02  3.70739832D+02 -9.29778145D+01  1.16323703D+01 -7.26008322D-01  1.80841215D-02
   101             31.02 '             ga++' 20.514   6   -4.85868507D+01  3.08233653D+01 -7.69238347D+00  9.57466604D-01 -5.94389176D-02  1.47230491D-03
   102             32.00 '               ge'  0.000   6   -4.31175772D+02  2.99100425D+02 -8.15648996D+01  1.09668238D+01 -7.27557750D-01  1.90846272D-02
   103             32.01 '              ge+'  7.900   6   -2.43877203D+03  1.45488362D+03 -3.45689560D+02  4.09145918D+01 -2.41225287D+00  5.66871306D-02
   104             32.02 '             ge++' 15.935   6   -9.88822132D+02  5.84437311D+02 -1.37658773D+02  1.61558999D+01 -9.45015962D-01  2.20467796D-02
   105             33.00 '               as'  0.000   6   -2.98377199D+03  1.74240849D+03 -4.05840442D+02  4.71667785D+01 -2.73656947D+00  6.34551329D-02
   106             33.01 '              as+'  9.815   6   -3.03864066D+03  1.78437108D+03 -4.17213097D+02  4.85716467D+01 -2.81560169D+00  6.50308018D-02
   107             33.02 '             as++' 18.634   6    4.34366407D+02 -2.62508829D+02  6.34138231D+01 -7.65020535D+00  4.61016936D-01 -1.10827922D-02
   108             34.00 '               se'  0.000   6   -1.27936376D+03  7.76484231D+02 -1.87766372D+02  2.26376185D+01 -1.36061199D+00  3.26236345D-02
   109             34.01 '              se+'  9.752   6    1.99417140D+03 -1.17665608D+03  2.76905561D+02 -3.24747594D+01  1.89797112D+00 -4.42088434D-02
   110             34.02 '             se++' 21.189   6    1.60478222D+04 -9.45698646D+03  2.22110803D+03 -2.59898201D+02  1.51536281D+01 -3.52249604D-01
   111             35.00 '               br'  0.000   6   -9.72046127D+03  5.82777987D+03 -1.39409794D+03  1.66365268D+02 -9.90479053D+00  2.35381496D-01
