oh continuous opacity: Kurucz et al 1987, ApJ 322, 992
2.824E-23 (g) molecular weight
Col 1 = photon energy (eV); Col 2-9 = opacity (cm2/g of the molecule): Boltzmann LTE
      1000K    2000K    3000K    4000K    5000K    6000K    7000K    8000K    9000K
10.0 6.34E+04 6.80E+04 7.26E+04 7.54E+04 7.69E+04 7.76E+04 7.76E+04 7.72E+04 7.65E+04
10.1 6.27E+04 6.87E+04 7.40E+04 7.72E+04 7.90E+04 7.93E+04 7.93E+04 7.90E+04 7.83E+04
10.2 6.30E+04 6.98E+04 7.54E+04 7.90E+04 8.04E+04 8.11E+04 8.11E+04 8.07E+04 7.97E+04
10.3 6.52E+04 7.22E+04 7.79E+04 8.11E+04 8.25E+04 8.32E+04 8.29E+04 8.22E+04 8.15E+04
10.4 6.91E+04 7.61E+04 8.18E+04 8.43E+04 8.54E+04 8.57E+04 8.50E+04 8.43E+04 8.32E+04
10.5 7.51E+04 8.22E+04 8.68E+04 8.85E+04 8.92E+04 8.89E+04 8.82E+04 8.71E+04 8.61E+04
10.6 8.32E+04 9.00E+04 9.31E+04 9.42E+04 9.38E+04 9.31E+04 9.21E+04 9.07E+04 8.92E+04
10.7 9.42E+04 9.99E+04 1.02E+05 1.01E+05 1.00E+05 9.88E+04 9.70E+04 9.53E+04 9.38E+04
10.8 1.08E+05 1.12E+05 1.12E+05 1.10E+05 1.08E+05 1.06E+05 1.03E+05 1.01E+05 9.92E+04
10.9 1.24E+05 1.26E+05 1.24E+05 1.20E+05 1.17E+05 1.14E+05 1.11E+05 1.08E+05 1.06E+05
11.0 1.42E+05 1.42E+05 1.37E+05 1.32E+05 1.27E+05 1.24E+05 1.20E+05 1.17E+05 1.14E+05
11.1 1.63E+05 1.60E+05 1.53E+05 1.46E+05 1.40E+05 1.35E+05 1.30E+05 1.27E+05 1.23E+05
11.2 1.86E+05 1.80E+05 1.69E+05 1.60E+05 1.53E+05 1.47E+05 1.42E+05 1.38E+05 1.34E+05
11.3 2.09E+05 2.00E+05 1.87E+05 1.76E+05 1.67E+05 1.60E+05 1.54E+05 1.49E+05 1.45E+05
11.4 2.31E+05 2.19E+05 2.03E+05 1.91E+05 1.81E+05 1.74E+05 1.67E+05 1.61E+05 1.55E+05
11.5 2.51E+05 2.36E+05 2.18E+05 2.04E+05 1.94E+05 1.85E+05 1.78E+05 1.71E+05 1.65E+05
11.6 2.65E+05 2.48E+05 2.29E+05 2.15E+05 2.03E+05 1.94E+05 1.86E+05 1.78E+05 1.72E+05
11.7 2.73E+05 2.55E+05 2.35E+05 2.20E+05 2.08E+05 1.98E+05 1.89E+05 1.82E+05 1.75E+05
11.8 2.73E+05 2.53E+05 2.33E+05 2.19E+05 2.07E+05 1.97E+05 1.88E+05 1.81E+05 1.74E+05
11.9 2.63E+05 2.44E+05 2.25E+05 2.11E+05 2.00E+05 1.90E+05 1.82E+05 1.75E+05 1.68E+05
12.0 2.45E+05 2.27E+05 2.10E+05 1.97E+05 1.87E+05 1.78E+05 1.70E+05 1.63E+05 1.57E+05
12.1 2.21E+05 2.04E+05 1.90E+05 1.79E+05 1.70E+05 1.62E+05 1.55E+05 1.48E+05 1.42E+05
12.2 1.92E+05 1.78E+05 1.66E+05 1.57E+05 1.49E+05 1.42E+05 1.36E+05 1.31E+05 1.25E+05
12.3 1.61E+05 1.50E+05 1.41E+05 1.33E+05 1.27E+05 1.21E+05 1.16E+05 1.11E+05 1.07E+05
12.4 1.31E+05 1.22E+05 1.15E+05 1.09E+05 1.04E+05 9.99E+04 9.56E+04 9.17E+04 8.82E+04
12.5 1.03E+05 9.60E+04 9.07E+04 8.64E+04 8.25E+04 7.93E+04 7.58E+04 7.30E+04 7.01E+04
12.6 7.76E+04 7.26E+04 6.87E+04 6.55E+04 6.30E+04 6.06E+04 5.81E+04 5.56E+04 5.35E+04
12.7 5.63E+04 5.24E+04 4.99E+04 4.78E+04 4.60E+04 4.43E+04 4.25E+04 4.07E+04 3.93E+04
12.8 3.90E+04 3.65E+04 3.46E+04 3.33E+04 3.19E+04 3.07E+04 2.95E+04 2.84E+04 2.73E+04
12.9 2.56E+04 2.39E+04 2.27E+04 2.19E+04 2.10E+04 2.02E+04 1.94E+04 1.87E+04 1.80E+04
13.0 1.58E+04 1.47E+04 1.40E+04 1.34E+04 1.29E+04 1.24E+04 1.20E+04 1.15E+04 1.11E+04
13.1 9.10E+03 8.39E+03 7.93E+03 7.58E+03 7.30E+03 7.01E+03 6.76E+03 6.52E+03 6.30E+03
13.2 4.78E+03 4.36E+03 4.04E+03 3.82E+03 3.68E+03 3.54E+03 3.41E+03 3.30E+03 3.19E+03
13.3 2.20E+03 1.95E+03 1.76E+03 1.64E+03 1.57E+03 1.51E+03 1.46E+03 1.41E+03 1.37E+03
13.4 8.32E+02 7.01E+02 5.99E+02 5.42E+02 5.06E+02 4.85E+02 4.71E+02 4.60E+02 4.50E+02
13.5 2.02E+02 1.62E+02 1.33E+02 1.18E+02 1.12E+02 1.09E+02 1.07E+02 1.07E+02 1.06E+02
13.6 3.54E+01 3.14E+01 2.86E+01 2.72E+01 2.67E+01 2.65E+01 2.63E+01 2.62E+01 2.60E+01
13.7 2.72E+01 2.38E+01 2.09E+01 1.87E+01 1.70E+01 1.55E+01 1.44E+01 1.34E+01 1.25E+01
13.8 2.11E+01 1.84E+01 1.60E+01 1.43E+01 1.30E+01 1.20E+01 1.13E+01 1.06E+01 1.00E+01
13.9 1.63E+01 1.42E+01 1.23E+01 1.09E+01 9.95E+00 9.21E+00 8.61E+00 8.11E+00 7.69E+00
14.0 1.23E+01 1.08E+01 9.31E+00 8.22E+00 7.44E+00 6.87E+00 6.41E+00 6.06E+00 5.74E+00
14.1 8.82E+00 7.90E+00 6.91E+00 6.13E+00 5.56E+00 5.17E+00 4.85E+00 4.60E+00 4.36E+00
14.2 5.81E+00 5.49E+00 4.96E+00 4.53E+00 4.21E+00 3.97E+00 3.79E+00 3.65E+00 3.49E+00
14.3 3.38E+00 3.47E+00 3.34E+00 3.17E+00 3.04E+00 2.94E+00 2.85E+00 2.78E+00 2.71E+00
14.4 1.09E+00 1.57E+00 1.79E+00 1.88E+00 1.92E+00 1.95E+00 1.96E+00 1.96E+00 1.95E+00
14.5 1.85E-01 6.98E-01 9.95E-01 1.15E+00 1.25E+00 1.32E+00 1.38E+00 1.41E+00 1.43E+00
14.6 1.21E-01 4.57E-01 6.59E-01 7.76E-01 8.64E-01 9.35E-01 9.88E-01 1.02E+00 1.05E+00
14.7 5.74E-02 2.18E-01 3.22E-01 4.04E-01 4.75E-01 5.42E-01 5.95E-01 6.41E-01 6.73E-01
14.8 8.78E-07 1.73E-03 1.99E-02 6.34E-02 1.22E-01 1.82E-01 2.38E-01 2.84E-01 3.22E-01
14.9 7.26E-07 1.43E-03 1.65E-02 5.24E-02 1.01E-01 1.51E-01 1.96E-01 2.35E-01 2.66E-01
15.0 6.66E-07 1.31E-03 1.52E-02 4.82E-02 9.28E-02 1.39E-01 1.81E-01 2.16E-01 2.45E-01
