    331  '             5355.00'  'CsI' -3.560   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 53 1 55 1
    332  '             5555.00'  'CsCs' -0.394   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 55 2
    333  '              859.00'  'PrO' -7.740   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 8 1 59 1
    334  '             1379.00'  'AuAl' -3.340   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 13 1 79 1
    335  '             7979.00'  'AuAu' -2.306   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 79 2
    336  '             1880.01'  'HgAr+' 10.239   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 3 18 1 80 1 99 -1
    337  '             3581.00'  'TlBr' -3.419   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 35 1 81 1
    338  '             5381.00'  'TlI' -2.760   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 53 1 81 1
    339  '             3482.00'  'PbSe' -3.080   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 34 1 82 1
    340  '             5282.00'  'PbTe' -2.550   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 52 1 82 1
    341  '             1783.00'  'BiCl' -3.080   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 2 17 1 83 1
    342  '             8383.00'  'BiBi' -2.040   3    8.30865403D-01  8.18950425D-01  9.19835713D-02 1 83 2
    343  '            10108.00'  'H O H' -9.512   7    1.44518994D+03 -1.18568100D+03  4.02064308D+02 -7.20425879D+01  7.19907707D+00 -3.80370337D-01 8.31134943D-03 2 1 2 8 1
    344  '            10116.00'  'H H S' -7.508   6   -5.18205435D+02  3.32214242D+02 -8.40036626D+01  1.05339679D+01 -6.53195766D-01  1.61341873D-02 2 1 2 16 1
    345  '            10508.00'  'H B O' -12.597   7    4.70477272D+02 -4.14806051D+02  1.52300994D+02 -2.95321540D+01  3.18505184D+00 -1.80571707D-01 4.20653530D-03 3 1 1 5 1 8 1
    346  '            10516.00'  'H B S' -10.311   8   -1.13069217D+04  1.04476408D+04 -4.13597684D+03  9.09899962D+02 -1.20164498D+02  9.52789873D+00 -4.19956922D-01  7.93648498D-03 3 1 1 5 1 16 1
    347  '            10607.00'  'H C N' -13.085   6   -2.85770053D+02  1.84409248D+02 -4.63845020D+01  5.72979457D+00 -3.44570055D-01  8.15506909D-03 3 1 1 6 1 7 1
    348  '            10608.00'  'H C O' -11.721   7   -1.20108728D+03  8.92872134D+02 -2.73406562D+02  4.43722195D+01 -4.02795796D+00  1.94495953D-01 -3.90847866D-03 3 1 1 6 1 8 1
